"Displacements:0","Displacements:1","Displacements:2","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.0055838,0.0026665,0.0037335,0.028029,0.0028835,0.0010551,0.0030104,0.00011875,0.0020279,0.053695,-0.011683,-0.016437,0.015654,0.00061749,0.010545,0,0,0,0.028636,0.0025577,0.00077413,0.013931,0.010656,0.027042,1.0075e-06,0.1,0.1,0
0.0081989,0.0036636,0.0047883,0.026055,0.0013331,0.00044831,0.0018281,0.00018011,0.00080877,0.051041,-0.013236,-0.015536,0.009506,0.00093657,0.0042056,0,0,0,0.026256,0.0012217,0.00035873,0.012949,0.0092788,0.025481,8.5131e-07,0.15,0.1,0
0.010688,0.0043979,0.0055308,0.024736,0.0005875,0.00013124,0.00098076,0.00018997,0.00033177,0.04904,-0.013745,-0.014931,0.0051,0.00098784,0.0017252,0,0,0,0.024797,0.00061764,4.0152e-05,0.012378,0.0084848,0.024474,7.5408e-07,0.2,0.1,0
0.013103,0.0049241,0.0060669,0.024052,0.00025144,2.1791e-05,0.00043169,0.00017265,0.00010931,0.04794,-0.013941,-0.014538,0.0022448,0.0008978,0.00056839,0,0,0,0.024067,0.0003398,-8.1313e-05,0.012074,0.0081084,0.023941,7.0555e-07,0.25,0.1,0
0.015482,0.005291,0.0064574,0.023762,8.4138e-05,-2.6812e-05,8.1498e-05,0.00014483,-3.3633e-06,0.04749,-0.014073,-0.014361,0.00042379,0.00075313,-1.7489e-05,0,0,0,0.023765,0.00018566,-0.00013092,0.011948,0.0079399,0.023739,6.8775e-07,0.3,0.1,0
0.017852,0.0055375,0.0067406,0.023727,-3.0052e-06,-4.5104e-05,-0.0001367,0.00011342,-6.3759e-05,0.047482,-0.014215,-0.014324,-0.00071082,0.0005898,-0.00033155,0,0,0,0.023728,9.2101e-05,-0.00014198,0.011935,0.0078928,0.023754,6.8899e-07,0.35,0.1,0
0.02023,0.0056949,0.0069437,0.023846,-5.1894e-05,-4.9644e-05,-0.00026186,8.1325e-05,-9.4865e-05,0.047753,-0.014382,-0.014376,-0.0013617,0.00042289,-0.0004933,0,0,0,0.02385,3.0508e-05,-0.00013565,0.011993,0.0079149,0.023903,7.0194e-07,0.4,0.1,0
0.022627,0.0057894,0.0070876,0.024052,-8.1391e-05,-4.7588e-05,-0.00031697,5.0397e-05,-0.00010734,0.048182,-0.014565,-0.014478,-0.0016482,0.00026206,-0.00055817,0,0,0,0.024057,-9.5638e-06,-0.00012434,0.012091,0.0079744,0.024124,7.2153e-07,0.45,0.1,0
0.025048,0.0058428,0.0071891,0.024293,-9.967e-05,-4.2776e-05,-0.00031748,2.2642e-05,-0.00010678,0.048671,-0.014749,-0.014602,-0.0016509,0.00011774,-0.00055523,0,0,0,0.024298,-3.0268e-05,-0.00011708,0.012208,0.0080502,0.024372,7.4385e-07,0.5,0.1,0
0.027494,0.0058734,0.007262,0.024531,-0.00010939,-3.7218e-05,-0.00027674,3.3563e-07,-9.6881e-05,0.049149,-0.014915,-0.014727,-0.0014391,1.7453e-06,-0.00050378,0,0,0,0.024534,-3.3798e-05,-0.00011661,0.012326,0.008128,0.02461,7.6574e-07,0.55,0.1,0
0.029963,0.0058952,0.0073171,0.024738,-0.0001108,-3.1961e-05,-0.00020868,-1.4458e-05,-8.0889e-05,0.049561,-0.015045,-0.01484,-0.0010851,-7.5183e-05,-0.00042062,0,0,0,0.02474,-2.7817e-05,-0.00011724,0.012429,0.0081983,0.024813,7.8474e-07,0.6,0.1,0
0.032451,0.0059177,0.007362,0.024898,-0.00010392,-2.7539e-05,-0.0001283,-2.0605e-05,-6.2006e-05,0.049875,-0.01513,-0.014932,-0.00066716,-0.00010715,-0.00032243,0,0,0,0.024899,-2.1276e-05,-0.00011121,0.012505,0.0082555,0.024965,7.9924e-07,0.65,0.1,0
0.034951,0.0059462,0.0074015,0.025006,-8.9755e-05,-2.4237e-05,-5.0344e-05,-1.8419e-05,-4.3255e-05,0.05008,-0.015168,-0.014998,-0.00026179,-9.5778e-05,-0.00022493,0,0,0,0.025006,-1.8553e-05,-9.5755e-05,0.012551,0.0082972,0.025063,8.0862e-07,0.7,0.1,0
0.037459,0.0059811,0.0074378,0.025064,-7.0708e-05,-2.2197e-05,1.2882e-05,-9.6869e-06,-2.7029e-05,0.050184,-0.015167,-0.01504,6.6986e-05,-5.0372e-05,-0.00014055,0,0,0,0.025064,-1.9136e-05,-7.3885e-05,0.012569,0.0083237,0.025111,8.1323e-07,0.75,0.1,0
0.039969,0.00602,0.0074709,0.025084,-5.0018e-05,-2.1385e-05,5.3421e-05,2.8086e-06,-1.4725e-05,0.050211,-0.015138,-0.015063,0.00027779,1.4605e-05,-7.6572e-05,0,0,0,0.025084,-1.6979e-05,-5.4589e-05,0.012569,0.0083375,0.02512,8.1413e-07,0.8,0.1,0
0.04248,0.0060582,0.0074995,0.025079,-3.0902e-05,-2.1546e-05,6.8539e-05,1.6029e-05,-6.6555e-06,0.05019,-0.015097,-0.015072,0.0003564,8.335e-05,-3.4609e-05,0,0,0,0.02508,-5.9974e-06,-4.6667e-05,0.012563,0.0083423,0.025106,8.1276e-07,0.85,0.1,0
0.044988,0.0060904,0.0075218,0.025064,-1.5843e-05,-2.223e-05,6.0379e-05,2.7332e-05,-2.261e-06,0.050151,-0.015057,-0.015073,0.00031397,0.00014213,-1.1757e-05,0,0,0,0.025064,9.9929e-06,-4.8238e-05,0.012556,0.0083421,0.025084,8.1058e-07,0.9,0.1,0
