"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.0030593,-0.00024129,0.0075534,0.0024525,0.0030018,-0.00020628,0,0,0.053254,-0.0064264,0,-0.004827,0,0,0,0.0075617,0.0024442,0.0030018,-2.312,0.0043359,0.0048628,5.6449e-09,0.06,0.48,0
0.0041389,-0.00028968,0.0076428,0.0022584,0.0029704,-0.00021821,0,0,0.054667,-0.0083295,0,-0.0051061,0,0,0,0.0076516,0.0022496,0.0029704,-2.317,0.0042905,0.0050801,6.279e-09,0.08,0.48,0
0.005246,-0.00032731,0.0077293,0.002078,0.0029422,-0.00023964,0,0,0.056009,-0.010111,0,-0.0056075,0,0,0,0.0077394,0.0020678,0.0029422,-2.4238,0.0042498,0.0052889,6.9035e-09,0.1,0.48,0
0.0063793,-0.00035636,0.0078127,0.0019116,0.0029173,-0.00026955,0,0,0.057277,-0.011767,0,-0.0063075,0,0,0,0.007825,0.0018993,0.0029173,-2.6099,0.0042139,0.005488,7.514e-09,0.12,0.48,0
0.0075371,-0.0003785,0.0078928,0.0017599,0.0028958,-0.00030717,0,0,0.058465,-0.01329,0,-0.0071877,0,0,0,0.0079081,0.0017445,0.0028958,-2.8601,0.0041828,0.0056762,8.1058e-09,0.14,0.48,0
0.0087178,-0.00039483,0.0079691,0.0016236,0.0028778,-0.00035183,0,0,0.059568,-0.014674,0,-0.0082328,0,0,0,0.0079886,0.0016042,0.0028778,-3.1638,0.0041569,0.0058525,8.6743e-09,0.16,0.48,0
0.0099198,-0.00040595,0.0080413,0.0015036,0.0028635,-0.00040294,0,0,0.06058,-0.01591,0,-0.0094287,0,0,0,0.008066,0.0014789,0.0028635,-3.5136,0.0041361,0.0060156,9.2147e-09,0.18,0.48,0
0.011141,-0.00041183,0.0081087,0.0014009,0.0028529,-0.00045989,0,0,0.061493,-0.016989,0,-0.010761,0,0,0,0.0081401,0.0013695,0.0028529,-3.9038,0.0041208,0.0061643,9.722e-09,0.2,0.48,0
0.01238,-0.00041175,0.0081709,0.0013162,0.0028461,-0.00052198,0,0,0.0623,-0.0179,0,-0.012214,0,0,0,0.0082104,0.0012767,0.0028461,-4.3297,0.0041111,0.0062974,1.0191e-08,0.22,0.48,0
0.013633,-0.00040417,0.0082271,0.0012505,0.0028433,-0.00058832,0,0,0.062991,-0.018636,0,-0.013767,0,0,0,0.0082764,0.0012012,0.0028433,-4.7866,0.0041069,0.0064138,1.0615e-08,0.24,0.48,0
0.014899,-0.00038646,0.0082766,0.0012043,0.0028443,-0.00065776,0,0,0.063558,-0.019188,0,-0.015392,0,0,0,0.0083372,0.0011436,0.0028443,-5.2686,0.0041084,0.0065121,1.0989e-08,0.26,0.48,0
0.016175,-0.00035465,0.0083183,0.0011778,0.0028488,-0.00072871,0,0,0.063993,-0.019551,0,-0.017052,0,0,0,0.008392,0.0011042,0.0028488,-5.7679,0.004115,0.006591,1.1305e-08,0.28,0.48,0
0.017459,-0.00030295,0.0083263,0.0011239,0.0028351,-0.00080469,0,0,0.064248,-0.020021,0,-0.01883,0,0,0,0.0084152,0.0010351,0.0028351,-6.2979,0.0040951,0.006665,1.1549e-08,0.3,0.48,0
0.018747,-0.00022307,0.0083504,0.0011322,0.0028448,-0.00084727,0,0,0.064416,-0.020037,0,-0.019826,0,0,0,0.0084485,0.0010341,0.0028448,-6.6058,0.0041091,0.0066953,1.1698e-08,0.32,0.48,0
0.020035,-0.00010298,0.0083697,0.0012021,0.0028716,-0.00092126,0,0,0.064329,-0.019533,0,-0.021558,0,0,0,0.0084862,0.0010856,0.0028716,-7.2082,0.0041478,0.0066889,1.1756e-08,0.34,0.48,0
0.02132,7.5294e-05,0.0083323,0.0012235,0.0028668,-0.00095383,0,0,0.063947,-0.019226,0,-0.02232,0,0,0,0.0084581,0.0010978,0.0028668,-7.5108,0.0041409,0.0066546,1.1606e-08,0.36,0.48,0
0.022593,0.00034086,0.0082692,0.0012338,0.0028509,-0.00092497,0,0,0.063394,-0.01892,0,-0.021644,0,0,0,0.0083888,0.0011142,0.0028509,-7.3661,0.0041179,0.0065804,1.127e-08,0.38,0.48,0
0.023856,0.00074777,0.0083322,0.0011592,0.0028474,-0.00084464,0,0,0.064172,-0.019752,0,-0.019765,0,0,0,0.0084303,0.0010611,0.0028474,-6.626,0.0041129,0.0066583,1.1562e-08,0.4,0.48,0
0.02516,0.001285,0.0080767,0.00034053,0.0025252,-0.0007473,0,0,0.064953,-0.02556,0,-0.017487,0,0,0,0.0081482,0.00026901,0.0025252,-5.4673,0.0036475,0.0070282,1.1832e-08,0.42,0.48,0
0.026454,0.0019606,0.0086305,-4.2827e-05,0.0025763,-0.0011111,0,0,0.070834,-0.030644,0,-0.025999,0,0,0,0.0087706,-0.0001829,0.0025763,-7.1852,0.0037213,0.0079419,1.5651e-08,0.44,0.48,0
0.027993,0.0025754,0.011357,2.6799e-05,0.0034153,-0.00096348,0,0,0.03527,-0.014434,0,-0.013173,0,0,0,0.011459,-7.5079e-05,0.0034153,-5.8539,0.0049332,0.010245,4.9599e-08,0.46,0.48,0
0.028282,0.0026512,0.0063888,-0.00058832,0.0017402,-0.00017852,0,0,0.012449,-0.0059721,0,-0.0022083,0,0,0,0.0063981,-0.00059755,0.0017402,-3.0874,0.0025136,0.0061686,1.6847e-08,0.48,0.48,0
0.028452,0.0026929,0.0094348,-0.0015496,0.0023656,2.4528e-05,0,0,0.00919,-0.0050897,0,6.3773e-05,0,0,0,0.0094348,-0.0015497,0.0023656,0.12794,0.0034169,0.0096427,2.1788e-08,0.5,0.48,0
0.028649,0.0027601,0.010538,-0.00023781,0.0030901,3.4907e-05,0,0,0.0096826,-0.0043263,0,9.0759e-05,0,0,0,0.010538,-0.00023792,0.0030901,0.1856,0.0044636,0.0095572,2.7197e-08,0.52,0.48,0
0.028839,0.0028388,0.01062,0.00019732,0.0032452,-4.8888e-05,0,0,0.0095872,-0.0039622,0,-0.00012711,0,0,0,0.01062,0.00019709,0.0032452,-0.26874,0.0046875,0.0092823,2.6642e-08,0.54,0.48,0
0.029033,0.0029033,0.010882,0.00026967,0.0033454,-0.0001246,0,0,0.009797,-0.0039984,0,-0.00032397,0,0,0,0.010883,0.00026821,0.0033454,-0.67264,0.0048322,0.0094594,2.847e-08,0.56,0.48,0
0.029231,0.002955,0.011084,0.00030416,0.0034164,-8.3486e-05,0,0,0.0099677,-0.0040459,0,-0.00021706,0,0,0,0.011085,0.00030351,0.0034164,-0.4437,0.0049348,0.0096104,2.9985e-08,0.58,0.48,0
