"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.018564,0.010303,0.02447,-8.7481e-05,0.0073148,-3.6628e-05,0,0,0.044604,-0.019246,0,-0.00019047,0,0,0,0.02447,-8.7535e-05,0.0073148,-0.085457,0.010566,0.02182,3.339e-07,0.36,0,0
0.019011,0.010338,0.024569,-8.3258e-05,0.0073456,-3.9896e-05,0,0,0.04478,-0.019315,0,-0.00020746,0,0,0,0.024569,-8.3322e-05,0.0073456,-0.092725,0.01061,0.021904,3.3788e-07,0.37,0,0
0.01946,0.010367,0.024675,-7.902e-05,0.0073787,-4.3026e-05,0,0,0.044969,-0.01939,0,-0.00022374,0,0,0,0.024675,-7.9095e-05,0.0073787,-0.09959,0.010658,0.021995,3.4221e-07,0.38,0,0
0.01991,0.01039,0.024788,-7.4757e-05,0.0074139,-4.6016e-05,0,0,0.045172,-0.019471,0,-0.00023928,0,0,0,0.024788,-7.4842e-05,0.0074139,-0.10604,0.010709,0.022092,3.4687e-07,0.39,0,0
0.020363,0.010408,0.024908,-7.046e-05,0.0074513,-4.8857e-05,0,0,0.045388,-0.019557,0,-0.00025406,0,0,0,0.024908,-7.0555e-05,0.0074513,-0.11207,0.010763,0.022195,3.5187e-07,0.4,0,0
0.020818,0.01042,0.025035,-6.6121e-05,0.0074906,-5.1539e-05,0,0,0.045615,-0.019647,0,-0.000268,0,0,0,0.025035,-6.6226e-05,0.0074906,-0.11764,0.01082,0.022305,3.572e-07,0.41,0,0
0.021275,0.010428,0.025168,-6.1734e-05,0.0075318,-5.4048e-05,0,0,0.045854,-0.019743,0,-0.00028105,0,0,0,0.025168,-6.185e-05,0.0075318,-0.12274,0.010879,0.022419,3.6285e-07,0.42,0,0
0.021735,0.010431,0.025307,-5.7299e-05,0.0075748,-5.6366e-05,0,0,0.046103,-0.019844,0,-0.0002931,0,0,0,0.025307,-5.7424e-05,0.0075748,-0.12733,0.010941,0.022539,3.6882e-07,0.43,0,0
0.022197,0.01043,0.025451,-5.2813e-05,0.0076194,-5.8476e-05,0,0,0.046362,-0.019948,0,-0.00030407,0,0,0,0.025451,-5.2947e-05,0.0076194,-0.13137,0.011006,0.022664,3.7508e-07,0.44,0,0
0.022662,0.010425,0.0256,-4.8279e-05,0.0076654,-6.0355e-05,0,0,0.046629,-0.020056,0,-0.00031385,0,0,0,0.0256,-4.8421e-05,0.0076654,-0.13483,0.011072,0.022792,3.8163e-07,0.45,0,0
